Dolphin.ID,time,event,Sex
216,1.716632444,1,Unknown
217,1.73853525,1,Unknown
218,1.752224504,0,Unknown
219,1.823408624,1,Male
220,1.828884326,1,Unknown
221,1.856262834,1,Unknown
222,1.859000684,1,Unknown
223,2.009582478,1,Female
224,2.015058179,1,Unknown
225,2.023271732,1,Unknown
226,2.045174538,0,Unknown
227,2.078028747,1,Male
228,2.088980151,1,Unknown
229,2.102669405,0,Unknown
230,2.116358658,0,Female
231,2.12183436,0,Unknown
232,2.127310062,0,Unknown
233,2.138261465,1,Unknown
234,2.149212868,1,Unknown
235,2.149212868,0,Unknown
236,2.151950719,1,Male
237,2.165639973,0,Unknown
238,2.165639973,0,Unknown
239,2.165639973,0,Unknown
240,2.171115674,1,Unknown
241,2.201232033,1,Female
242,2.203969884,1,Unknown
243,2.214921287,0,Unknown
244,2.247775496,1,Unknown
245,2.288843258,1,Unknown
246,2.310746064,1,Unknown
247,2.316221766,1,Unknown
248,2.332648871,1,Unknown
249,2.395619439,1,Unknown
250,2.395619439,1,Unknown
251,2.414784394,1,Unknown
252,2.43394935,1,Unknown
253,2.494182067,1,Unknown
254,2.494182067,1,Unknown
255,2.494182067,1,Unknown
256,2.494182067,1,Unknown
257,2.494182067,1,Unknown
258,2.496919918,1,Unknown
259,2.496919918,1,Unknown
260,2.496919918,1,Unknown
261,2.603696099,1,Unknown
262,2.631074606,1,Unknown
263,2.669404517,1,Female
264,2.735112936,1,Unknown
265,2.762491444,1,Male
266,2.770704997,1,Unknown
267,2.830937714,1,Unknown
268,2.836413415,1,Unknown
269,2.839151266,1,Unknown
270,3.014373717,1,Male
271,3.055441478,1,Female
272,3.16495551,0,Unknown
273,3.189596167,0,Male
274,3.247091034,1,Male
275,3.279945243,1,Male
276,3.285420945,0,Male
277,3.290896646,1,Unknown
278,3.315537303,1,Unknown
279,3.329226557,1,Female
280,3.392197125,1,Unknown
281,3.414099932,1,Female
282,3.414099932,1,Unknown
283,3.457905544,1,Unknown
284,3.496235455,1,Unknown
285,3.496235455,1,Unknown
286,3.496235455,1,Unknown
287,3.496235455,1,Unknown
288,3.496235455,1,Unknown
289,3.496235455,1,Male
290,3.496235455,1,Male
291,3.496235455,1,Unknown
292,3.496235455,1,Unknown
293,3.496235455,1,Unknown
294,3.496235455,1,Unknown
295,3.496235455,1,Unknown
296,3.496235455,1,Unknown
297,3.498973306,1,Female
298,3.507186858,1,Unknown
299,3.515400411,1,Male
300,3.567419576,1,Male
301,3.603011636,1,Male
302,3.668720055,0,Unknown
303,3.876796715,0,Unknown
304,3.915126626,0,Unknown
305,4.073921971,1,Male
306,4.114989733,0,Male
307,4.167008898,0,Male
308,4.167008898,0,Female
309,4.167008898,0,Unknown
310,4.205338809,1,Male
311,4.213552361,0,Male
312,4.268309377,1,Male
313,4.328542094,1,Unknown
314,4.328542094,1,Unknown
315,4.342231348,1,Female
316,4.355920602,0,Unknown
317,4.457221081,1,Unknown
318,4.495550992,1,Unknown
319,4.495550992,1,Unknown
320,4.495550992,1,Unknown
321,4.498288843,1,Unknown
322,4.618754278,1,Male
323,4.646132786,0,Unknown
324,4.657084189,1,Unknown
325,4.837782341,0,Unknown
326,5.084188912,0,Female
327,5.100616016,1,Male
328,5.166324435,0,Unknown
329,5.210130048,1,Female
330,5.25119781,0,Female
331,5.325119781,1,Male
332,5.412731006,1,Male
333,5.415468857,1,Unknown
334,5.49486653,1,Unknown
335,5.49486653,1,Male
336,5.49486653,1,Female
337,5.497604381,1,Unknown
338,5.497604381,1,Male
339,5.497604381,1,Unknown
340,5.497604381,1,Female
341,5.837097878,0,Unknown
342,6.001368925,1,Unknown
343,6.001368925,1,Unknown
344,6.083504449,0,Unknown
345,6.165639973,0,Female
346,6.165639973,0,Unknown
347,6.179329227,0,Female
348,6.184804928,0,Unknown
349,6.250513347,0,Unknown
350,6.417522245,0,Female
351,6.494182067,1,Unknown
352,6.496919918,1,Unknown
353,6.496919918,1,Male
354,6.543463381,1,Unknown
355,6.562628337,1,Female
356,6.836413415,0,Unknown
357,6.836413415,0,Male
358,6.951403149,1,Female
359,6.997946612,0,Male
360,7.151266256,0,Female
361,7.16495551,0,Male
362,7.16495551,0,Male
363,7.16495551,0,Male
364,7.16495551,0,Male
365,7.16495551,0,Unknown
366,7.16495551,0,Female
367,7.16495551,0,Male
368,7.16495551,0,Male
369,7.214236824,0,Female
370,7.329226557,1,Unknown
371,7.44421629,1,Male
372,7.496235455,1,Male
373,7.496235455,1,Unknown
374,7.496235455,1,Male
375,7.496235455,1,Unknown
376,7.496235455,1,Unknown
377,7.537303217,1,Male
378,7.775496235,0,Female
379,7.835728953,0,Female
380,7.915126626,0,Female
381,7.961670089,0,Unknown
382,8.046543463,0,Male
383,8.076659822,0,Female
384,8.084873374,0,Female
385,8.098562628,0,Male
386,8.10403833,0,Male
387,8.112251882,0,Male
388,8.114989733,0,Female
389,8.114989733,0,Male
390,8.128678987,0,Female
391,8.167008898,0,Unknown
392,8.167008898,0,Unknown
393,8.167008898,0,Male
394,8.167008898,0,Unknown
395,8.167008898,0,Unknown
396,8.167008898,0,Female
397,8.183436003,0,Male
398,8.197125257,0,Female
399,8.199863107,0,Male
400,8.199863107,0,Unknown
401,8.202600958,0,Male
402,8.495550992,1,Unknown
403,8.495550992,1,Unknown
404,8.495550992,1,Male
405,8.495550992,1,Male
406,8.495550992,1,Male
407,8.542094456,1,Male
408,8.689938398,1,Male
409,8.876112252,0,Female
410,9.122518823,0,Female
411,9.127994524,0,Female
412,9.166324435,0,Male
413,9.166324435,0,Female
414,9.166324435,0,Male
415,9.166324435,0,Female
416,9.180013689,0,Male
417,9.212867899,0,Female
418,9.292265572,1,Male
419,9.333333333,0,Unknown
420,9.333333333,0,Female
421,9.45927447,1,Male
422,9.49486653,1,Male
423,9.49486653,1,Unknown
424,9.49486653,1,Female
425,9.497604381,1,Male
426,9.497604381,1,Male
427,9.9137577,0,Female
428,9.938398357,0,Female
429,9.998631075,0,Unknown
430,10.04517454,0,Female
431,10.05338809,0,Male
432,10.08350445,0,Female
433,10.11362081,0,Male
434,10.14647502,0,Female
435,10.16016427,0,Unknown
436,10.16563997,0,Female
437,10.16563997,0,Male
438,10.16563997,0,Unknown
439,10.16563997,0,Female
440,10.16563997,0,Unknown
441,10.16563997,0,Male
442,10.16563997,0,Male
443,10.16563997,0,Male
444,10.275154,1,Female
445,10.49418207,1,Unknown
446,10.49418207,1,Female
447,10.49691992,1,Unknown
448,10.57905544,1,Unknown
449,10.99247091,0,Unknown
450,11.08281999,0,Male
451,11.16495551,0,Male
452,11.16495551,0,Unknown
453,11.16495551,0,Female
454,11.16495551,0,Male
455,11.16495551,0,Female
456,11.16495551,0,Unknown
457,11.16495551,0,Male
458,11.16495551,0,Male
459,11.16769336,1,Male
460,11.29089665,1,Male
461,11.33196441,0,Male
462,11.34565366,0,Female
463,11.49623546,1,Unknown
464,11.49623546,1,Unknown
465,11.49623546,1,Male
466,11.49623546,1,Male
467,11.49623546,1,Female
468,11.96167009,0,Female
469,12,0,Female
470,12,0,Unknown
471,12.08487337,0,Female
472,12.08487337,0,Male
473,12.13415469,0,Female
474,12.1670089,0,Female
475,12.1670089,0,Female
476,12.1670089,0,Male
477,12.1670089,0,Female
478,12.1670089,0,Female
479,12.1670089,0,Unknown
480,12.25188227,0,Female
481,12.49555099,1,Male
482,12.49555099,1,Male
483,12.49555099,1,Male
484,12.49555099,1,Unknown
485,12.49555099,1,Unknown
486,12.49555099,1,Male
487,12.49555099,1,Female
488,12.49555099,1,Female
489,12.49828884,1,Male
490,12.91991786,1,Male
491,12.94455852,0,Female
492,12.96098563,0,Male
493,13.08418891,0,Female
