calf.id,survive,maternal.id,maternal.age.at.birth
441,1,266,19.08
442,1,231,24.95
443,1,217,20.06
444,1,344,21
445,0,250,16.76
446,0,212,30.99
447,1,228,18.97
448,0,213,14.34
449,1,273,16.08
450,1,316,21
451,0,227,15
452,0,267,13.04
453,1,217,12.13
454,1,260,17
455,1,281,16
456,0,310,22.49
457,0,206,39.41
458,1,257,27.93
459,0,345,23.95
460,1,305,15.07
461,1,213,21.05
462,0,270,10.97
463,1,285,12
464,1,302,22.21
465,0,213,29.17
466,0,314,29.48
467,1,237,22.5
468,0,278,11.06
469,1,325,28.12
470,1,346,10.95
471,1,291,23.99
472,0,240,26.01
473,1,212,14.3
474,1,316,21
475,0,241,24.9
476,0,289,30
477,1,347,15
478,1,202,30.08
479,1,300,23
480,1,239,12
481,1,258,30.95
482,1,228,14.93
483,1,213,25.05
484,1,222,14.04
485,0,333,33.97
486,0,257,26
487,1,240,16.01
488,1,348,33
489,0,252,25.04
490,0,293,32
491,1,280,24
492,0,349,14.92
493,1,290,12.06
494,1,265,16
495,1,259,20.04
496,1,345,25.91
497,0,203,29.25
498,1,258,17.4
499,1,350,12.29
500,1,256,31
501,1,351,16
502,1,211,23.22
503,0,263,23.01
504,1,312,16
505,1,352,24.51
506,1,273,12
507,0,304,32.33
508,1,225,20
509,1,315,11
510,0,334,21.08
511,1,211,27.08
512,0,203,33.07
513,1,258,22.97
514,1,315,20.04
515,1,238,14.9
516,1,353,14.08
517,1,316,16
518,1,272,11
519,0,269,21
520,1,220,37.02
521,0,279,12
522,1,311,17.17
523,1,263,14.93
